,cnstrct_yr,date_lstmo,bin,groundelev,heightroof,bbl,geometry,FLD_AR_ID,FLD_ZONE,STATIC_BFE,Bin #,Job Type,Job Status Descrp,Latest Action Date,Building Type,City Owned,Other Description,ExistingNo. of Stories,Proposed No. of Stories,Existing Height,Proposed Height,Existing Dwelling Units,Proposed Dwelling Units,Existing Occupancy,Proposed Occupancy,Job Description,BBL_x,Borough,CD,CT2010,CB2010,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,LtdHeight,SplitZone,BldgClass,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,BBL_y,CondoNo,Tract2010,PLUTOMapID,HeightDiff,LFE_est
1077,1925.0,2017-08-22,3250106,8.0,18.99747168,3089390908,"POLYGON ((1004189.155647812 155896.5265114942, 1004194.462395729 155890.6052634898, 1004187.958799812 155884.7768630682, 1004197.903989899 155873.6801004882, 1004186.436165062 155863.4022339027, 1004178.671744899 155856.443586416, 1004173.905350221 155861.7618172501, 1004169.110412315 155857.4642536607, 1004156.812208564 155871.1863390688, 1004161.751503141 155875.6128394124, 1004159.333528979 155878.3106686668, 1004179.136967065 155896.058992749, 1004180.823643478 155894.1771067464, 1004186.612017717 155899.3647604038, 1004189.155647812 155896.5265114942))",130,AE,11.0,3250106,A2,APPLICATION PROCESSED - ENTIRE,10/28/2015,1-2-3 FAMILY,,GEN. CONSTR.,2.0,2.0,27.0,27.0,2.0,2.0,J-3,J-3,"filing for renovation of existing two family home for bib  application #009719 as per plans submitted herewith. no change  to use, egress or occupancy.",3089390908,BK,315,628.0,2019.0,R4,,,,,N,B2,1.0,3570,1123,0,1123,0,0,0,0,0,0,2,2,1.75,2,2,68.0,52.5,26.0,24.0,G,1.0,3.0,0.0,10548.0,22273.0,10548.0,11573.0,1925,0,0,3089390908,0,628,1,-8.00252832,9.49747168
1078,1925.0,2017-08-22,3250106,8.0,18.99747168,3089390908,"POLYGON ((1004189.155647812 155896.5265114942, 1004194.462395729 155890.6052634898, 1004187.958799812 155884.7768630682, 1004197.903989899 155873.6801004882, 1004186.436165062 155863.4022339027, 1004178.671744899 155856.443586416, 1004173.905350221 155861.7618172501, 1004169.110412315 155857.4642536607, 1004156.812208564 155871.1863390688, 1004161.751503141 155875.6128394124, 1004159.333528979 155878.3106686668, 1004179.136967065 155896.058992749, 1004180.823643478 155894.1771067464, 1004186.612017717 155899.3647604038, 1004189.155647812 155896.5265114942))",130,AE,11.0,3250106,A2,APPLICATION PROCESSED - ENTIRE,10/28/2015,1-2-3 FAMILY,,STRUCTURAL,2.0,2.0,27.0,27.0,2.0,2.0,J-3,J-3,"filing for structural work associated with renovation of existing two family home for bib application #009719 as per plans submitted herewith. no change to use, egress or occupancy.",3089390908,BK,315,628.0,2019.0,R4,,,,,N,B2,1.0,3570,1123,0,1123,0,0,0,0,0,0,2,2,1.75,2,2,68.0,52.5,26.0,24.0,G,1.0,3.0,0.0,10548.0,22273.0,10548.0,11573.0,1925,0,0,3089390908,0,628,1,-8.00252832,9.49747168
1079,1925.0,2017-08-22,3250106,8.0,18.99747168,3089390908,"POLYGON ((1004189.155647812 155896.5265114942, 1004194.462395729 155890.6052634898, 1004187.958799812 155884.7768630682, 1004197.903989899 155873.6801004882, 1004186.436165062 155863.4022339027, 1004178.671744899 155856.443586416, 1004173.905350221 155861.7618172501, 1004169.110412315 155857.4642536607, 1004156.812208564 155871.1863390688, 1004161.751503141 155875.6128394124, 1004159.333528979 155878.3106686668, 1004179.136967065 155896.058992749, 1004180.823643478 155894.1771067464, 1004186.612017717 155899.3647604038, 1004189.155647812 155896.5265114942))",130,AE,11.0,3250106,A2,APPLICATION PROCESSED - ENTIRE,03/21/2016,1-2-3 FAMILY,,GEN CONST/STRUC,2.0,2.0,20.0,20.0,1.0,1.0,J-3,J-3,"filing for renovation of existing single family home for bib  application #009719 with associated mechanical, plumbing and  structural work as per plans submitted herewith. no change to  use, egress or occupancy.",3089390908,BK,315,628.0,2019.0,R4,,,,,N,B2,1.0,3570,1123,0,1123,0,0,0,0,0,0,2,2,1.75,2,2,68.0,52.5,26.0,24.0,G,1.0,3.0,0.0,10548.0,22273.0,10548.0,11573.0,1925,0,0,3089390908,0,628,1,-1.00252832,9.49747168
1080,1925.0,2017-08-22,3250106,8.0,18.99747168,3089390908,"POLYGON ((1004189.155647812 155896.5265114942, 1004194.462395729 155890.6052634898, 1004187.958799812 155884.7768630682, 1004197.903989899 155873.6801004882, 1004186.436165062 155863.4022339027, 1004178.671744899 155856.443586416, 1004173.905350221 155861.7618172501, 1004169.110412315 155857.4642536607, 1004156.812208564 155871.1863390688, 1004161.751503141 155875.6128394124, 1004159.333528979 155878.3106686668, 1004179.136967065 155896.058992749, 1004180.823643478 155894.1771067464, 1004186.612017717 155899.3647604038, 1004189.155647812 155896.5265114942))",130,AE,11.0,3250106,A2,APPLICATION PROCESSED - ENTIRE,03/21/2016,1-2-3 FAMILY,,GEN CONST/STRUC,2.0,2.0,20.0,20.0,1.0,1.0,J-3,J-3,"filing for renovation of existing single family home for bib  application #009719 with associated mechanical, plumbing and  structural work as per plans submitted herewith. no change to  use, egress or occupancy.",3089390908,BK,315,628.0,2019.0,R4,,,,,N,B2,1.0,3570,1123,0,1123,0,0,0,0,0,0,2,2,1.75,2,2,68.0,52.5,26.0,24.0,G,1.0,3.0,0.0,10548.0,22273.0,10548.0,11573.0,1925,0,0,3089390908,0,628,1,-1.00252832,9.49747168
1081,1925.0,2017-08-22,3250106,8.0,18.99747168,3089390908,"POLYGON ((1004189.155647812 155896.5265114942, 1004194.462395729 155890.6052634898, 1004187.958799812 155884.7768630682, 1004197.903989899 155873.6801004882, 1004186.436165062 155863.4022339027, 1004178.671744899 155856.443586416, 1004173.905350221 155861.7618172501, 1004169.110412315 155857.4642536607, 1004156.812208564 155871.1863390688, 1004161.751503141 155875.6128394124, 1004159.333528979 155878.3106686668, 1004179.136967065 155896.058992749, 1004180.823643478 155894.1771067464, 1004186.612017717 155899.3647604038, 1004189.155647812 155896.5265114942))",130,AE,11.0,3250106,A3,APPLICATION PROCESSED - ENTIRE,05/10/2016,1-2-3 FAMILY,,,2.0,2.0,20.0,20.0,1.0,1.0,J-3,J-3,"filing for installation of fence associated with the renovation of existing single family home for bib application #009719 as per plans submitted herewith. no change to use, egress or occupancy.",3089390908,BK,315,628.0,2019.0,R4,,,,,N,B2,1.0,3570,1123,0,1123,0,0,0,0,0,0,2,2,1.75,2,2,68.0,52.5,26.0,24.0,G,1.0,3.0,0.0,10548.0,22273.0,10548.0,11573.0,1925,0,0,3089390908,0,628,1,-1.00252832,9.49747168
1084,1945.0,2017-08-22,3250181,8.0,22.13814518,3089460896,"POLYGON ((1004081.543002144 155885.8231208155, 1004065.704779225 155872.4061529092, 1004055.305193725 155884.6823750769, 1004044.987300979 155875.9419069945, 1004037.962052553 155884.2348694093, 1004067.77531314 155909.4900682476, 1004073.995445059 155914.7594146613, 1004091.419950888 155894.189902, 1004081.543002144 155885.8231208155))",130,AE,11.0,3250181,A2,APPLICATION PROCESSED - ENTIRE,04/14/2016,1-2-3 FAMILY,,GEN. CONSTR.,2.0,2.0,23.0,23.0,1.0,1.0,J-3,J-3,"bib work app-005655.rehabilitation with elevation of existing dwelling to be raised 6 feet. existing foundation shall be demolished, new grade beam, helical pile foundation system shall be installed. interior and exterior elevation as needed. no change to use egress or occupancy. this application is fee exempt based on legislation intro 389.",3089460896,BK,315,628.0,2015.0,R4,,,,,N,A1,1.0,3570,1170,0,1170,0,0,0,0,0,0,2,1,1.67,1,1,68.0,52.5,26.67,24.0,,1.0,3.0,2.0,9415.0,21496.0,1550.0,1550.0,1945,0,0,3089460896,0,628,1,-0.86185482,13.43814518
1086,1925.0,2017-08-22,3250089,6.0,21.97,3089390864,"POLYGON ((1004346.045097813 155909.3522732423, 1004320.993310647 155887.7017260012, 1004301.65771939 155910.0747127442, 1004326.70983465 155931.7252599946, 1004346.045097813 155909.3522732423))",130,AE,11.0,3250089,A2,APPLICATION PROCESSED - ENTIRE,09/25/2015,1-2-3 FAMILY,,,1.0,1.0,30.0,30.0,1.0,1.0,RES,RES,"bib # app- 013220  raising existing plumbing equipment to accommodate elevation of existing structure. provide new gas line and vent lines, water lines. installation of new tankless gas boiler as shown on drawings filed herewith. no change in use, egress or occupancy.",3089390864,BK,315,628.0,2018.0,R4,,,,,N,A1,1.0,1785,796,0,796,0,0,0,0,0,0,2,1,1.75,1,1,34.0,52.5,26.0,24.0,,1.0,5.0,0.0,5243.0,16478.0,1550.0,1550.0,1925,0,0,3089390864,0,628,1,-8.03,10.47
1087,1925.0,2017-08-22,3250105,6.0,22.63,3089390906,"POLYGON ((1004219.005325647 155892.8726474117, 1004211.786179977 155886.8044180765, 1004195.024402487 155906.7456511623, 1004230.729711654 155936.7583864044, 1004242.854687392 155922.3335464978, 1004214.368523897 155898.3890405816, 1004219.005325647 155892.8726474117))",130,AE,11.0,3250105,A2,APPLICATION PROCESSED - ENTIRE,02/12/2016,1-2-3 FAMILY,,STRUCTURAL,3.0,3.0,36.0,36.0,1.0,1.0,J-3,J-3,"elevation of an existing building in the special flood hazard area, including construction of a new pile foundation, grade beams, and crawl space, with related plumbing work. build it back application number app-015371",3089390906,BK,315,628.0,2019.0,R4,,,,,N,A9,1.0,1785,1476,0,1476,0,0,0,0,0,0,2,1,2.0,1,1,34.0,52.5,18.0,37.0,EG,1.0,3.0,0.0,5127.0,17418.0,1550.0,1550.0,1925,0,0,3089390906,0,628,1,-13.37,8.63
1094,1945.0,2017-08-22,3250168,6.0,23.3216,3089460848,"POLYGON ((1004198.310157063 155975.9928879922, 1004190.859712647 155969.5736095007, 1004186.305259811 155974.8600162494, 1004171.710144639 155962.2849101627, 1004173.267556235 155960.4774990691, 1004167.970650808 155955.9138599058, 1004155.80236806 155970.0368631738, 1004150.288599565 155965.2865445802, 1004143.116369813 155973.611003006, 1004176.288219478 156002.1913264144, 1004198.329513984 155976.6090284906, 1004198.626101315 155976.2648690886, 1004198.310157063 155975.9928879922))",130,AE,11.0,3250168,A2,APPLICATION PROCESSED - ENTIRE,06/10/2014,1-2-3 FAMILY,,GEN. CONSTR.,1.0,1.0,15.0,15.0,1.0,1.0,J-3,J-3,bib application 008132,3089460848,BK,315,628.0,2016.0,R4,,,,,N,A1,1.0,1785,1140,0,1140,0,0,0,0,0,0,2,1,1.67,1,1,34.0,52.5,26.67,24.0,,1.0,3.0,2.0,6381.0,21622.0,1550.0,1550.0,1945,0,0,3089460848,0,628,1,8.3216,12.6216
1095,1945.0,2017-08-22,3250168,6.0,23.3216,3089460848,"POLYGON ((1004198.310157063 155975.9928879922, 1004190.859712647 155969.5736095007, 1004186.305259811 155974.8600162494, 1004171.710144639 155962.2849101627, 1004173.267556235 155960.4774990691, 1004167.970650808 155955.9138599058, 1004155.80236806 155970.0368631738, 1004150.288599565 155965.2865445802, 1004143.116369813 155973.611003006, 1004176.288219478 156002.1913264144, 1004198.329513984 155976.6090284906, 1004198.626101315 155976.2648690886, 1004198.310157063 155975.9928879922))",130,AE,11.0,3250168,A3,PLAN EXAM - APPROVED,10/07/2014,1-2-3 FAMILY,,,2.0,2.0,23.0,23.0,1.0,1.0,J-3,J-3,bib work application 008132. herewith filing fence application in conjunction    with alt 2 340171352 to elevate house.,3089460848,BK,315,628.0,2016.0,R4,,,,,N,A1,1.0,1785,1140,0,1140,0,0,0,0,0,0,2,1,1.67,1,1,34.0,52.5,26.67,24.0,,1.0,3.0,2.0,6381.0,21622.0,1550.0,1550.0,1945,0,0,3089460848,0,628,1,0.3216,12.6216
